# AbstractFramework package inventory — the ONE source of truth for the
# workspace scripts (status/build/clone/commit/push/pull/deps/install checks).
#
# One row per PUBLISHED PACKAGE (not per repository): a repository can hold
# several packages (AbstractUIC holds 7 npm packages; abstractgateway holds a
# Python package and a Rust crate; abstractcode holds a Rust crate and an npm
# app). Rows are grouped by repository; the scripts derive the repository list
# from the `repo` column.
#
# Format: pipe-separated columns, surrounding spaces ignored, `#` starts a
# comment line. Loaded by scripts/lib/repo_groups.sh (bash 3.2 / zsh safe) and
# scripts/lib/af_inventory.py.
#
#   id        unique package id used by the scripts and in `deps`
#   repo      checkout directory under the workspace root ("." = this repo)
#   github    GitHub owner/name with the canonical casing (clone URL source)
#   kind      python | npm | rust | meta
#   path      package directory inside the repo ("." = repo root)
#   registry  pypi | npm | crates
#   name      the registry name (PyPI distribution, npm package, crate)
#   tier      dependency level: 0 = no internal dependency; otherwise
#             1 + the highest tier among `deps`. `scripts/deps.sh --check`
#             recomputes it and fails on any mismatch.
#   deps      internal dependency edges, `id:kind` comma-separated, `-` = none.
#             Edge kinds (the "why" printed by scripts/deps.sh):
#               dep    runtime dependency (pyproject dependencies, npm
#                      dependencies, Cargo [dependencies])
#               extra  only through an optional extra (pyproject extras)
#               peer   npm peerDependency
#               dev    npm devDependency bundled at build time from the registry
#               alias  Vite/tsconfig source alias to ../abstractuic/<pkg>/src:
#                      the build needs the sibling CHECKOUT, not a publish
#               pin    root meta-package exact `==` pin
#               app    root install manifest lists this app version
#                      (NPM_RELEASE_VERSIONS)
#
# id                    | repo              | github                      | kind   | path                  | registry | name                                   | tier | deps
# ---------------------------------------------------------------------------------------------------------------------------------------------------------------
abstractskill           | abstractskill     | lpalbou/AbstractSkill       | python | .                     | pypi     | abstractskill                          | 0    | -
abstractsemantics       | abstractsemantics | lpalbou/AbstractSemantics   | python | .                     | pypi     | abstractsemantics                      | 0    | -
abstractmemory          | abstractmemory    | lpalbou/AbstractMemory      | python | .                     | pypi     | AbstractMemory                         | 0    | -
abstractvision          | abstractvision    | lpalbou/AbstractVision      | python | .                     | pypi     | abstractvision                         | 0    | -
abstractvoice           | abstractvoice     | lpalbou/AbstractVoice       | python | .                     | pypi     | abstractvoice                          | 0    | -
abstractmusic           | abstractmusic     | lpalbou/AbstractMusic       | python | .                     | pypi     | abstractmusic                          | 0    | -
abstractcamera          | abstractcamera    | lpalbou/AbstractCamera      | python | .                     | pypi     | abstractcamera                         | 0    | -
abstract3d              | abstract3d        | lpalbou/abstract3d          | python | .                     | pypi     | abstract3d                             | 1    | abstractvision:dep
abstractcore            | abstractcore      | lpalbou/AbstractCore        | python | .                     | pypi     | abstractcore                           | 2    | abstractvision:extra,abstractvoice:extra,abstractmusic:extra,abstract3d:extra
core-console            | abstractcore      | lpalbou/AbstractCore        | rust   | console-tui           | crates   | abstractcore-console                   | 1    | abstracttui:dep
abstractruntime         | abstractruntime   | lpalbou/AbstractRuntime     | python | .                     | pypi     | AbstractRuntime                        | 3    | abstractcore:dep,abstractmemory:dep,abstractsemantics:dep
abstractagent           | abstractagent     | lpalbou/AbstractAgent       | python | .                     | pypi     | abstractagent                          | 4    | abstractcore:dep,abstractruntime:dep
abstractassistant       | abstractassistant | lpalbou/AbstractAssistant   | python | .                     | pypi     | abstractassistant                      | 4    | abstractcore:dep,abstractruntime:dep,abstractvoice:dep
abstractgateway         | abstractgateway   | lpalbou/AbstractGateway     | python | .                     | pypi     | abstractgateway                        | 5    | abstractruntime:dep,abstractagent:dep,abstractmemory:dep,abstractcore:dep,abstractskill:dep
gateway-console         | abstractgateway   | lpalbou/AbstractGateway     | rust   | console-tui           | crates   | abstractgateway-console                | 2    | abstracttui:dep,core-console:dep
ui-kit                  | abstractuic       | lpalbou/AbstractUIC         | npm    | ui-kit                | npm      | @abstractframework/ui-kit              | 0    | -
app-server              | abstractuic       | lpalbou/AbstractUIC         | npm    | app-server            | npm      | @abstractframework/app-server          | 0    | -
monitor-flow            | abstractuic       | lpalbou/AbstractUIC         | npm    | monitor-flow          | npm      | @abstractframework/monitor-flow        | 0    | -
monitor-gpu             | abstractuic       | lpalbou/AbstractUIC         | npm    | monitor-gpu           | npm      | @abstractframework/monitor-gpu         | 0    | -
monitor-memory          | abstractuic       | lpalbou/AbstractUIC         | npm    | monitor-memory        | npm      | @abstractframework/monitor-memory      | 0    | -
monitor-active-memory   | abstractuic       | lpalbou/AbstractUIC         | npm    | monitor-active-memory | npm      | @abstractframework/monitor-active-memory | 0  | -
panel-chat              | abstractuic       | lpalbou/AbstractUIC         | npm    | panel-chat            | npm      | @abstractframework/panel-chat          | 1    | ui-kit:peer
flow                    | abstractflow      | lpalbou/AbstractFlow        | npm    | .                     | npm      | @abstractframework/flow                | 1    | ui-kit:alias,monitor-flow:alias,monitor-gpu:alias,monitor-memory:alias,monitor-active-memory:alias
observer                | abstractobserver  | lpalbou/AbstractObserver    | npm    | .                     | npm      | @abstractframework/observer            | 2    | app-server:dep,ui-kit:alias,panel-chat:alias,monitor-flow:alias,monitor-gpu:alias,monitor-active-memory:alias
continuum               | abstractcontinuum | lpalbou/AbstractContinuum   | npm    | .                     | npm      | @abstractframework/continuum           | 2    | app-server:dep,ui-kit:alias,panel-chat:alias
entity                  | abstractentity    | lpalbou/AbstractEntity      | npm    | .                     | npm      | @abstractframework/entity              | 2    | app-server:dep,ui-kit:alias,panel-chat:alias
code-web                | abstractcode      | lpalbou/AbstractCode        | npm    | web                   | npm      | @abstractframework/code                | 2    | ui-kit:dev,panel-chat:dev,monitor-flow:dev,monitor-gpu:dev
code-cli                | abstractcode      | lpalbou/AbstractCode        | rust   | tui                   | crates   | abstractcode                           | 1    | abstracttui:dep
abstracttui             | abstracttui       | lpalbou/AbstractTUI         | rust   | .                     | crates   | abstracttui                            | 0    | -
abstractframework       | .                 | lpalbou/AbstractFramework   | meta   | .                     | pypi     | abstractframework                      | 6    | abstractgateway:pin,abstractassistant:pin,abstractcore:pin,abstractruntime:pin,abstractagent:pin,abstractskill:pin,abstractmemory:pin,abstractsemantics:pin,abstractvoice:pin,abstractvision:pin,abstractmusic:pin,flow:app,code-web:app,observer:app,continuum:app,entity:app
